mode,status,fail_date,years,min_mmr,min_mmr_date,min_runway,max_debt,total_interest,final_E,final_A,min_wQ,avg_wQ,cum_living,beta
A,ok,,26.39,,,15.1,0.0,0.0,2.5471,2.5471,0.44,0.705,0.54,0.7
B,ok,,26.39,2.179,2009-03-09,17.32,0.7429,0.2029,5.2799,6.0228,0.44,0.705,0.54,0.7
C0,margin_fail,2001-02-27,0.92,1.398,2001-02-27,28.44,0.0205,0.0005,0.577,0.5975,0.488,0.612,0.02,0.7
C1,ok,,26.39,1.608,2002-10-09,4.83,0.4924,0.1565,4.4965,4.6527,0.44,0.702,0.54,0.7
C2,ok,,26.39,1.619,2000-11-29,16.18,0.3145,0.0545,2.6487,2.9632,0.355,0.6,0.54,0.7
A,ok,,26.39,,,19.11,0.0,0.0,2.5486,2.5486,0.335,0.606,0.54,0.6
B,ok,,26.39,2.614,2009-04-07,21.02,0.7429,0.2029,4.6087,5.3517,0.335,0.606,0.54,0.6
C0,margin_fail,2001-02-27,0.92,1.398,2001-02-27,31.45,0.0205,0.0005,0.6372,0.6577,0.38,0.505,0.02,0.6
C1,ok,,26.39,1.608,2002-10-09,7.85,0.4258,0.0978,3.747,3.7283,0.335,0.611,0.54,0.6
C2,ok,,26.39,1.619,2000-11-29,19.13,0.3145,0.0545,2.7125,3.027,0.335,0.554,0.54,0.6
