y,A,L,E,wQ,MMR,ordinary,runway,P,I
2000,0.652,0.02,0.632,0.533,1.993,0.612,30.582,0.02,0.0
2001,0.527,0.041,0.485,0.674,1.817,0.451,22.572,0.04,0.001
2002,0.39,0.063,0.327,0.615,1.686,0.283,14.168,0.06,0.003
2003,0.522,0.085,0.437,0.762,2.091,0.344,17.223,0.08,0.005
2004,0.564,0.108,0.456,0.719,2.093,0.338,16.91,0.1,0.008
2005,0.573,0.131,0.442,0.719,2.102,0.298,14.897,0.12,0.011
2006,0.606,0.155,0.451,0.703,2.157,0.272,13.592,0.14,0.015
2007,0.689,0.179,0.51,0.727,2.365,0.266,13.301,0.16,0.019
2008,0.485,0.204,0.281,0.599,1.827,0.112,5.614,0.18,0.024
2009,0.62,0.209,0.411,0.684,2.274,0.145,7.25,0.18,0.029
2010,0.687,0.214,0.473,0.709,2.502,0.152,7.584,0.18,0.034
2011,0.709,0.239,0.469,0.693,2.412,0.131,6.543,0.2,0.039
2012,0.803,0.266,0.538,0.689,2.518,0.134,6.722,0.22,0.046
2013,0.987,0.272,0.715,0.75,3.098,0.145,7.265,0.22,0.052
2014,1.125,0.298,0.827,0.737,3.29,0.144,7.183,0.24,0.058
2015,1.207,0.325,0.882,0.709,3.141,0.185,9.256,0.26,0.065
2016,1.253,0.333,0.921,0.716,3.193,0.191,9.547,0.26,0.073
2017,1.545,0.36,1.184,0.732,3.632,0.236,11.79,0.28,0.08
2018,1.553,0.389,1.164,0.694,3.27,0.282,14.115,0.3,0.089
2019,1.975,0.417,1.557,0.727,4.005,0.303,15.134,0.32,0.097
2020,2.665,0.447,2.218,0.783,5.226,0.33,16.482,0.34,0.107
2021,3.203,0.477,2.727,0.731,6.058,0.315,15.75,0.36,0.117
2022,2.41,0.451,1.959,0.644,3.851,0.674,33.676,0.325,0.126
2023,3.27,0.46,2.809,0.75,5.634,0.677,33.846,0.325,0.135
2024,3.882,0.49,3.392,0.726,7.265,0.324,16.208,0.345,0.145
2025,4.436,0.475,3.961,0.76,7.934,0.667,33.359,0.321,0.154
2026,4.653,0.156,4.496,0.773,25.585,0.656,32.8,-0.0,0.157
