beta,sdd,smmr,rlo,s2000,r2000,mmr2000,fE2000,roll_fail,roll_minrun,roll_minmmr,medE
0.7,0.4,1.4,2,ok,2.84,1.603,4.825,0,3.31,1.6,8.878
0.6,0.4,1.4,2,ok,7.64,1.603,3.774,0,7.47,1.6,6.986
0.7,0.4,1.4,3,ok,2.84,1.603,4.825,0,3.31,1.6,8.878
0.6,0.4,1.4,3,ok,7.64,1.603,3.774,0,7.47,1.6,6.986
0.7,0.4,1.4,5,ok,3.8,1.603,4.336,0,3.58,1.6,8.878
0.6,0.4,1.4,5,ok,7.64,1.603,3.774,0,7.47,1.6,6.986
0.7,0.4,1.5,2,ok,2.84,1.602,4.825,0,0.9,1.6,8.876
0.6,0.4,1.5,2,ok,7.64,1.602,3.774,0,7.01,1.6,6.986
0.7,0.4,1.5,3,ok,2.84,1.602,4.825,0,2.14,1.6,8.876
0.6,0.4,1.5,3,ok,7.64,1.602,3.774,0,7.01,1.6,6.986
0.7,0.4,1.5,5,ok,3.8,1.602,4.336,0,2.96,1.6,8.876
0.6,0.4,1.5,5,ok,7.64,1.602,3.774,0,7.01,1.6,6.986
0.7,0.5,1.4,2,ok,2.62,1.603,4.825,0,0.33,1.6,8.876
0.6,0.5,1.4,2,ok,7.64,1.603,3.774,0,7.01,1.6,6.986
0.7,0.5,1.4,3,ok,2.62,1.603,4.825,0,2.11,1.6,8.876
0.6,0.5,1.4,3,ok,7.64,1.603,3.774,0,7.01,1.6,6.986
0.7,0.5,1.4,5,ok,3.8,1.603,4.336,0,2.95,1.6,8.876
0.6,0.5,1.4,5,ok,7.64,1.603,3.774,0,7.01,1.6,6.986
0.7,0.5,1.5,2,ok,1.74,1.604,4.521,0,5.72,1.6,8.876
0.6,0.5,1.5,2,ok,6.56,1.604,3.762,0,5.98,1.6,6.986
0.7,0.5,1.5,3,ok,1.74,1.604,4.407,0,5.72,1.6,8.876
0.6,0.5,1.5,3,ok,6.56,1.604,3.762,0,5.98,1.6,6.986
0.7,0.5,1.5,5,ok,1.74,1.604,4.407,0,5.72,1.6,8.876
0.6,0.5,1.5,5,ok,6.56,1.604,3.762,0,5.98,1.6,6.986
0.7,0.6,1.4,2,ok,1.74,1.606,4.521,0,5.09,1.601,8.876
0.6,0.6,1.4,2,ok,6.56,1.606,3.762,0,5.98,1.601,6.986
0.7,0.6,1.4,3,ok,1.74,1.606,4.407,0,5.09,1.601,8.876
0.6,0.6,1.4,3,ok,6.56,1.606,3.762,0,5.98,1.601,6.986
0.7,0.6,1.4,5,ok,1.74,1.606,4.407,0,5.09,1.601,8.876
0.6,0.6,1.4,5,ok,6.56,1.606,3.762,0,5.98,1.601,6.986
0.7,0.6,1.5,2,ok,2.46,1.608,4.557,0,1.17,1.605,8.879
0.6,0.6,1.5,2,ok,7.85,1.608,3.747,0,6.93,1.605,6.986
0.7,0.6,1.5,3,ok,2.46,1.608,4.557,0,2.7,1.605,8.879
0.6,0.6,1.5,3,ok,7.85,1.608,3.747,0,6.93,1.605,6.986
0.7,0.6,1.5,5,ok,4.83,1.608,4.497,0,3.73,1.605,8.879
0.6,0.6,1.5,5,ok,7.85,1.608,3.747,0,6.93,1.605,6.986
