mode,status,fail_date,years,min_mmr,min_mmr_date,min_runway,max_debt,total_interest,final_E,final_A,min_wQ,avg_wQ,cum_living,start,E_10y,y_wQ_lt_05,beta
A,ok,,26.96,,,25.64,0.0,0.0,6.2737,6.2737,0.443,0.706,0.54,1999-09-01,0.785,0.2,0.7
B,ok,,26.96,3.268,2009-03-09,28.18,0.7516,0.2116,9.1063,9.8578,0.443,0.706,0.54,1999-09-01,0.7732,0.2,0.7
C1,ok,,26.96,1.602,2002-07-01,14.36,0.7516,0.2116,9.0956,9.8472,0.443,0.706,0.54,1999-09-01,0.7732,0.2,0.7
C2,ok,,26.96,1.61,2009-03-09,26.76,0.331,0.071,5.6012,5.9322,0.368,0.604,0.54,1999-09-01,0.7815,4.4,0.7
A,ok,,26.96,,,29.33,0.0,0.0,5.3294,5.3294,0.338,0.608,0.54,1999-09-01,0.8593,0.9,0.6
B,ok,,26.96,3.691,2009-03-09,32.08,0.7516,0.2116,7.4571,8.2087,0.338,0.608,0.54,1999-09-01,0.8499,0.9,0.6
C1,ok,,26.96,1.602,2002-07-01,19.16,0.6954,0.1984,7.4438,7.7559,0.338,0.61,0.54,1999-09-01,0.8499,0.9,0.6
C2,ok,,26.96,1.61,2009-03-09,28.93,0.331,0.071,5.2251,5.5561,0.338,0.557,0.54,1999-09-01,0.8503,4.9,0.6
A,ok,,26.79,,,23.49,0.0,0.0,5.2576,5.2576,0.444,0.706,0.54,1999-11-03,0.7057,0.1,0.7
B,ok,,26.79,2.816,2008-11-20,25.08,0.749,0.209,8.0958,8.8448,0.444,0.706,0.54,1999-11-03,0.706,0.1,0.7
C1,ok,,26.79,1.601,2008-10-23,11.81,0.749,0.209,7.8242,8.5732,0.444,0.702,0.54,1999-11-03,0.6799,0.1,0.7
C2,ok,,26.79,1.6,2001-03-12,30.58,0.2953,0.0553,5.8881,6.1834,0.255,0.595,0.54,1999-11-03,0.8728,5.3,0.7
A,ok,,26.79,,,26.91,0.0,0.0,4.5223,4.5223,0.339,0.607,0.54,1999-11-03,0.7748,1.2,0.6
B,ok,,26.79,3.185,2009-03-09,28.7,0.749,0.209,6.6672,7.4162,0.339,0.607,0.54,1999-11-03,0.7768,1.2,0.6
C1,ok,,26.79,1.601,2008-10-23,15.42,0.5819,0.1518,6.3439,6.3118,0.339,0.611,0.54,1999-11-03,0.7768,1.2,0.6
C2,ok,,26.79,1.6,2001-03-12,29.95,0.2953,0.0553,4.9177,5.213,0.255,0.552,0.54,1999-11-03,0.8521,5.3,0.6
A,ok,,26.62,,,17.28,0.0,0.0,3.469,3.469,0.514,0.702,0.54,2000-01-05,0.5301,0.0,0.7
B,ok,,26.62,2.206,2009-03-09,19.81,0.7463,0.2063,6.2449,6.9912,0.514,0.702,0.54,2000-01-05,0.5343,0.0,0.7
C1,ok,,26.62,1.603,2008-10-24,4.29,0.6107,0.1764,5.7261,5.7475,0.514,0.7,0.54,2000-01-05,0.5007,0.0,0.7
C2,ok,,26.62,1.602,2002-09-30,20.44,0.2941,0.0541,3.6704,3.9645,0.312,0.591,0.54,2000-01-05,0.6052,7.0,0.7
A,ok,,26.62,,,20.86,0.0,0.0,3.1859,3.1859,0.405,0.604,0.54,2000-01-05,0.6064,1.3,0.6
B,ok,,26.62,2.564,2009-03-09,23.31,0.7463,0.2063,5.2922,6.0385,0.405,0.604,0.54,2000-01-05,0.6119,1.3,0.6
C1,ok,,26.62,1.603,2008-10-24,8.46,0.4972,0.1227,4.7,4.6648,0.405,0.606,0.54,2000-01-05,0.5915,1.3,0.6
C2,ok,,26.62,1.602,2002-09-30,21.7,0.2941,0.0541,3.3942,3.6883,0.312,0.548,0.54,2000-01-05,0.6398,7.0,0.6
A,ok,,26.44,,,15.22,0.0,0.0,2.6629,2.6629,0.49,0.707,0.54,2000-03-08,0.451,0.0,0.7
B,ok,,26.44,2.145,2009-03-20,17.64,0.7437,0.2037,5.4913,6.235,0.49,0.707,0.54,2000-03-08,0.47,0.0,0.7
C1,ok,,26.44,1.609,2000-11-21,5.72,0.4271,0.1456,4.644,4.8083,0.49,0.706,0.54,2000-03-08,0.4332,0.0,0.7
C2,ok,,26.44,1.606,2002-07-01,16.53,0.2913,0.0513,2.5335,2.8248,0.35,0.596,0.54,2000-03-08,0.48,4.8,0.7
A,ok,,26.44,,,19.05,0.0,0.0,2.639,2.639,0.382,0.609,0.54,2000-03-08,0.5395,0.9,0.6
B,ok,,26.44,2.519,2009-03-20,21.26,0.7437,0.2037,4.7796,5.5233,0.382,0.609,0.54,2000-03-08,0.5572,0.9,0.6
C1,ok,,26.44,1.609,2000-11-21,5.98,0.4052,0.1109,3.9286,3.8987,0.382,0.612,0.54,2000-03-08,0.5262,0.9,0.6
C2,ok,,26.44,1.606,2002-07-01,19.01,0.2913,0.0513,2.6665,2.9578,0.35,0.553,0.54,2000-03-08,0.5495,5.1,0.6
A,ok,,26.27,,,18.08,0.0,0.0,3.3627,3.3627,0.495,0.707,0.54,2000-05-10,0.5256,0.0,0.7
B,ok,,26.27,2.516,2009-03-09,19.82,0.7411,0.2011,6.0608,6.8019,0.495,0.707,0.54,2000-05-10,0.5346,0.0,0.7
C1,ok,,26.27,1.601,2002-08-05,6.41,0.5495,0.1358,5.4464,5.4817,0.495,0.707,0.54,2000-05-10,0.517,0.0,0.7
C2,ok,,26.27,1.609,2009-03-09,20.35,0.2963,0.0563,3.2911,3.5873,0.338,0.594,0.54,2000-05-10,0.5478,5.2,0.7
A,ok,,26.27,,,21.32,0.0,0.0,3.0491,3.0491,0.386,0.609,0.54,2000-05-10,0.597,0.9,0.6
B,ok,,26.27,2.914,2009-03-09,23.22,0.7411,0.2011,5.0765,5.8177,0.386,0.609,0.54,2000-05-10,0.6051,0.9,0.6
C1,ok,,26.27,1.601,2002-08-05,10.2,0.4866,0.1208,4.5114,4.4085,0.386,0.614,0.54,2000-05-10,0.6049,0.9,0.6
C2,ok,,26.27,1.609,2009-03-09,22.06,0.2963,0.0563,3.1565,3.4528,0.338,0.552,0.54,2000-05-10,0.6042,5.4,0.6
A,ok,,26.1,,,17.39,0.0,0.0,3.3012,3.3012,0.446,0.703,0.54,2000-07-12,0.5071,0.1,0.7
B,ok,,26.1,2.498,2009-03-09,19.25,0.7385,0.1985,5.9634,6.7019,0.446,0.703,0.54,2000-07-12,0.5127,0.1,0.7
C1,ok,,26.1,1.6,2001-09-21,5.48,0.6027,0.1696,5.7904,5.846,0.446,0.704,0.54,2000-07-12,0.5084,0.1,0.7
C2,ok,,26.1,1.601,2002-07-23,18.97,0.3169,0.0569,3.2411,3.558,0.35,0.597,0.54,2000-07-12,0.5241,4.9,0.7
A,ok,,26.1,,,20.82,0.0,0.0,3.0738,3.0738,0.341,0.604,0.54,2000-07-12,0.5893,1.0,0.6
B,ok,,26.1,2.936,2009-03-09,22.83,0.7385,0.1985,5.0692,5.8077,0.341,0.604,0.54,2000-07-12,0.5942,1.0,0.6
C1,ok,,26.1,1.6,2001-09-21,9.76,0.4559,0.1062,4.5606,4.5663,0.341,0.609,0.54,2000-07-12,0.5942,1.0,0.6
C2,ok,,26.1,1.601,2002-07-23,21.01,0.3169,0.0569,3.1696,3.4865,0.341,0.551,0.54,2000-07-12,0.5928,5.4,0.6
A,ok,,25.92,,,18.63,0.0,0.0,3.9229,3.9229,0.427,0.706,0.52,2000-09-13,0.6015,0.2,0.7
B,ok,,25.92,2.721,2009-03-09,20.76,0.7159,0.1959,6.6536,7.3695,0.427,0.706,0.52,2000-09-13,0.6277,0.2,0.7
C1,ok,,25.92,1.621,2009-03-09,11.05,0.6608,0.1861,6.6339,7.0252,0.427,0.707,0.52,2000-09-13,0.6277,0.2,0.7
C2,ok,,25.92,1.602,2002-09-23,18.72,0.274,0.054,3.1021,3.3761,0.384,0.592,0.52,2000-09-13,0.5542,4.2,0.7
A,ok,,25.92,,,22.25,0.0,0.0,3.6122,3.6122,0.324,0.608,0.52,2000-09-13,0.6898,0.7,0.6
B,ok,,25.92,3.188,2009-03-09,24.5,0.7159,0.1959,5.6586,6.3745,0.324,0.608,0.52,2000-09-13,0.7122,0.7,0.6
C1,ok,,25.92,1.621,2009-03-09,15.75,0.4866,0.1189,5.0053,4.7642,0.324,0.614,0.52,2000-09-13,0.7122,0.7,0.6
C2,ok,,25.92,1.602,2002-09-23,21.65,0.274,0.054,3.3403,3.6143,0.324,0.551,0.52,2000-09-13,0.6587,4.7,0.6
A,ok,,25.75,,,20.86,0.0,0.0,4.4254,4.4254,0.455,0.702,0.52,2000-11-15,0.6874,0.1,0.7
B,ok,,25.75,2.787,2009-03-09,22.23,0.7134,0.1934,7.1277,7.8411,0.455,0.702,0.52,2000-11-15,0.7258,0.1,0.7
C1,ok,,25.75,1.606,2001-02-28,10.16,0.6608,0.1855,6.7829,7.1947,0.455,0.699,0.52,2000-11-15,0.686,0.1,0.7
