beta,withdraw,mode,status,fail_date,min_mmr,min_runway,max_debt,total_interest,final_E,E_10y,avg_wQ,y_wQ_lt_05
0.8,0.02,A,ok,,,11.45,0.0,0.0,2.3199,0.3559,0.803,0.0
0.8,0.02,B,ok,,1.779,14.02,0.7429,0.2029,5.8659,0.3759,0.803,0.0
0.8,0.02,C0,margin_fail,2001-02-27,1.398,25.43,0.0205,0.0005,0.5168,0.5168,0.729,0.0
0.8,0.02,C1,liquidity_fail,2009-04-03,1.604,0.0,0.1847,0.0247,0.223,0.223,0.778,0.0
0.8,0.02,C2,ok,,1.603,12.87,0.3145,0.0545,2.4482,0.3737,0.645,5.7
0.8,0.025,A,ok,,,7.84,0.0,0.0,1.2477,0.2932,0.803,0.0
0.8,0.025,B,ok,,1.423,11.22,0.9287,0.2537,5.6802,0.3182,0.803,0.0
0.8,0.025,C0,margin_fail,2001-02-27,1.398,20.06,0.0256,0.0006,0.5116,0.5116,0.729,0.0
0.8,0.025,C1,liquidity_fail,2010-04-06,1.604,0.0,0.1809,0.0309,0.2761,0.2769,0.766,0.0
0.8,0.025,C2,ok,,1.603,8.03,0.3931,0.0681,1.6841,0.3103,0.645,5.7
0.8,0.03,A,ok,,,4.55,0.0,0.0,0.1754,0.2305,0.803,0.0
0.8,0.03,B,margin_fail,2008-10-09,1.379,9.35,0.3042,0.0342,0.1154,0.1154,0.787,0.0
0.8,0.03,C0,margin_fail,2001-02-27,1.398,16.47,0.0308,0.0008,0.5065,0.5065,0.729,0.0
0.8,0.03,C1,liquidity_fail,2009-04-03,1.601,0.0,0.1444,0.0244,0.1305,0.1305,0.715,0.0
0.8,0.03,C2,liquidity_fail,2025-04-14,1.603,0.0,0.0878,0.0286,0.1868,0.2468,0.607,5.7
0.7,0.02,A,ok,,,15.1,0.0,0.0,2.5471,0.4479,0.705,0.1
0.7,0.02,B,ok,,2.179,17.32,0.7429,0.2029,5.2799,0.4669,0.705,0.1
0.7,0.02,C0,margin_fail,2001-02-27,1.398,28.44,0.0205,0.0005,0.577,0.577,0.612,0.0
0.7,0.02,C1,ok,,1.604,1.74,0.5761,0.1574,4.4068,0.4368,0.701,0.1
0.7,0.02,C2,ok,,1.603,15.83,0.3145,0.0545,2.6487,0.4559,0.6,5.8
0.7,0.025,A,ok,,,10.66,0.0,0.0,1.6782,0.3855,0.705,0.1
0.7,0.025,B,ok,,1.744,13.86,0.9287,0.2537,5.0941,0.4092,0.705,0.1
0.7,0.025,C0,margin_fail,2001-02-27,1.398,22.47,0.0256,0.0006,0.5718,0.5718,0.612,0.0
0.7,0.025,C1,liquidity_fail,2009-04-03,1.604,0.0,0.2565,0.0315,0.2547,0.2547,0.68,0.1
0.7,0.025,C2,ok,,1.603,10.73,0.3931,0.0681,1.987,0.3924,0.6,5.8
0.7,0.03,A,ok,,,7.71,0.0,0.0,0.8092,0.323,0.705,0.1
0.7,0.03,B,ok,,1.453,11.55,1.1144,0.3044,4.9084,0.3515,0.705,0.1
0.7,0.03,C0,margin_fail,2001-02-27,1.398,18.48,0.0308,0.0008,0.5667,0.5667,0.612,0.0
0.7,0.03,C1,liquidity_fail,2009-04-03,1.604,0.0,0.2128,0.0328,0.1955,0.1955,0.672,0.1
0.7,0.03,C2,ok,,1.603,2.78,0.3272,0.0714,1.2642,0.329,0.602,5.8
0.6,0.02,A,ok,,,19.11,0.0,0.0,2.5486,0.5392,0.606,1.0
0.6,0.02,B,ok,,2.614,21.02,0.7429,0.2029,4.6087,0.5565,0.606,1.0
0.6,0.02,C0,margin_fail,2001-02-27,1.398,31.45,0.0205,0.0005,0.6372,0.6372,0.505,0.3
0.6,0.02,C1,ok,,1.604,6.56,0.4258,0.0971,3.7617,0.5328,0.609,1.0
0.6,0.02,C2,ok,,1.603,18.78,0.3145,0.0545,2.7125,0.5381,0.554,6.1
0.6,0.025,A,ok,,,13.79,0.0,0.0,1.8478,0.4772,0.606,1.0
0.6,0.025,B,ok,,2.091,16.82,0.9287,0.2537,4.423,0.4988,0.606,1.0
0.6,0.025,C0,margin_fail,2001-02-27,1.398,24.87,0.0256,0.0006,0.632,0.632,0.505,0.3
0.6,0.025,C1,liquidity_fail,2011-04-04,1.604,0.0,0.2692,0.0442,0.5073,0.4604,0.576,1.1
0.6,0.025,C2,ok,,1.603,13.09,0.3931,0.0681,2.1403,0.4746,0.554,6.1
0.6,0.03,A,ok,,,10.24,0.0,0.0,1.147,0.4151,0.606,1.0
0.6,0.03,B,ok,,1.743,14.02,1.1144,0.3044,4.2372,0.4411,0.606,1.0
0.6,0.03,C0,margin_fail,2001-02-27,1.398,20.49,0.0308,0.0008,0.6269,0.6269,0.505,0.3
0.6,0.03,C1,liquidity_fail,2009-04-03,1.604,0.0,0.3079,0.0379,0.2913,0.2913,0.579,1.0
0.6,0.03,C2,ok,,1.603,8.48,0.3973,0.0776,1.556,0.4111,0.555,6.1
0.5,0.02,A,ok,,,23.12,0.0,0.0,2.397,0.6284,0.508,8.9
0.5,0.02,B,ok,,3.023,25.14,0.7429,0.2029,3.9044,0.6432,0.508,8.9
0.5,0.02,C0,margin_fail,2001-02-27,1.398,34.46,0.0205,0.0005,0.6974,0.6974,0.406,0.9
0.5,0.02,C1,ok,,1.604,11.35,0.4052,0.095,3.3307,0.6432,0.512,8.6
0.5,0.02,C2,ok,,1.603,21.54,0.3145,0.0545,2.6707,0.6202,0.508,8.9
0.5,0.025,A,ok,,,17.2,0.0,0.0,1.8345,0.5669,0.508,8.9
0.5,0.025,B,ok,,2.419,20.11,0.9287,0.2537,3.7187,0.5855,0.508,8.9
0.5,0.025,C0,margin_fail,2001-02-27,1.398,27.28,0.0256,0.0006,0.6922,0.6922,0.406,0.9
0.5,0.025,C1,ok,,1.604,3.66,0.4252,0.1109,2.9011,0.5785,0.511,8.8
0.5,0.025,C2,ok,,1.603,15.45,0.3931,0.0681,2.1765,0.5567,0.508,8.9
0.5,0.03,A,ok,,,13.01,0.0,0.0,1.2719,0.5055,0.508,8.9
0.5,0.03,B,ok,,2.015,16.76,1.1144,0.3044,3.533,0.5278,0.508,8.9
0.5,0.03,C0,margin_fail,2001-02-27,1.398,22.49,0.0308,0.0008,0.6871,0.6871,0.406,0.9
0.5,0.03,C1,liquidity_fail,2010-04-06,1.604,0.0,0.3155,0.0455,0.4761,0.4828,0.476,5.8
0.5,0.03,C2,ok,,1.603,11.26,0.3973,0.0775,1.6727,0.4932,0.509,8.9
